onboarding	Onboarding Module/modules-onboarding/module.manifest.json	product-shahin-ai	shahin-ai	onboarding_sessions,onboarding_stages,onboarding_sections,onboarding_question_bank,onboarding_answers,onboarding_answer_history,onboarding_scores,onboarding_recommendations,onboarding_blockers,onboarding_confidence_scores,onboarding_inferred_facts,onboarding_configs,onboarding_seed_mappings,onboarding_stage_definitions,onboarding_ui_config,onboarding_journey_profiles,onboarding_scene_templates,provisioning_jobs,provisioning_steps,provisioning_events,provisioning_milestones,provisioning_step_definitions	identity,tenancy,workflow,permissions,audit
journey	Onboarding Module/journey/module.manifest.json	product-shahin-ai	shahin-ai	journey_roadmaps,journey_phases,journey_milestones,journey_capability_assessments,journey_benchmark_snapshots,journey_maturity_scores,journey_gap_items,journey_recommendations,journey_certification_tracks,journey_audit_log	identity,tenancy,workflow,permissions,audit
bcp	BCP Module/_sources/modules_bcp/module.manifest.json	product-shahin-ai	shahin-ai	bcp_activities,bcp_ai_feedback,bcp_ai_recommendations,bcp_ai_runs,bcp_assessment_items,bcp_assessments,bcp_audit_log,bcp_communication_plans,bcp_contact_lists,bcp_crisis_simulations,bcp_dependency_maps,bcp_documents,bcp_exercises,bcp_impact_analysis,bcp_incidents,bcp_lessons_learned,bcp_maturity_scores,bcp_plans,bcp_recovery_objectives,bcp_recovery_strategies,bcp_resource_requirements,bcp_review_cycles,bcp_risk_links,bcp_scenarios,bcp_stakeholders,bcp_teams,bcp_test_results,bcp_timeline_entries	identity,tenancy,workflow,permissions,audit
vendor	Vendor Module/_sources/modules_vendor/module.manifest.json	product-shahin-ai	shahin-ai	vendor_admin_config,vendor_assessments,vendor_audit_log,vendor_bcp_requirements,vendor_benchmark_cohorts,vendor_concentration_analysis,vendor_contacts,vendor_crypto_assessment,vendor_dd_steps,vendor_documents,vendor_due_diligence,vendor_engagement_milestones,vendor_engagement_scores,vendor_engagements,vendor_exceptions,vendor_findings,vendor_fourth_party_risk,vendor_issues,vendor_monitoring_signals,vendor_obligations,vendor_offboarding,vendor_offboarding_checklist,vendor_portal_messages,vendor_portal_tokens,vendor_questionnaire_submissions,vendor_risk_assessments,vendor_risks,vendor_shared_responsibility,vendor_sla_breach_log,vendor_sla_definitions,vendor_sla_measurements,vendor_subcontractors,vendor_team_distribution,vendor_training_requirements	identity,tenancy,workflow,permissions,audit
qiyas	Qiyas Module/module.manifest.json	product-shahin-ai	shahin-ai	qiyas_assessments,qiyas_benchmarks,qiyas_capability_scores,qiyas_dimensions,qiyas_domain_scores,qiyas_evidence_links,qiyas_frameworks,qiyas_gap_analysis,qiyas_improvement_plans,qiyas_maturity_levels,qiyas_maturity_models,qiyas_peer_comparisons,qiyas_question_sets,qiyas_recommendations,qiyas_responses,qiyas_roadmap_items,qiyas_score_history,qiyas_strategy_directions,qiyas_target_profiles,qiyas_trend_analysis	identity,tenancy,workflow,permissions,audit
integrations	integrations/module.manifest.json	product-shahin-ai	shahin-ai	integration_connectors,integration_configs,integration_sync_log,integration_mappings,integration_webhooks,integration_api_keys,integration_oauth_tokens,integration_schedules	identity,tenancy
dora	DORA Module/module.manifest.json	product-shahin-ai	shahin-ai	dora_ict_assets,dora_resilience_tests,dora_major_incidents,dora_threat_intel,dora_backup_configs,dora_third_party_register,dora_ict_risk_assessments,dora_incident_reports,dora_recovery_plans,dora_change_management,dora_audit_log,dora_obligations,dora_obligation_mappings,dora_framework_mappings,dora_control_mappings,dora_resilience_results,dora_readiness_snapshots	identity,tenancy,workflow,permissions,audit
evidence	Evidence Module/module.manifest.json	product-shahin-ai	shahin-ai	evidence_items,evidence_requests,evidence_reviews,evidence_packages,evidence_connectors,evidence_retention_policies,evidence_tasks	identity,tenancy,workflow,permissions,audit
governance	Governance Module/module.manifest.json	product-shahin-ai	shahin-ai	policies,policy_versions,governance_reviews,governance_decisions	identity,tenancy,workflow,permissions,audit
governance-os	Governance Module/governance-os/module.manifest.json	product-shahin-ai	shahin-ai	governance_os_frameworks,governance_os_framework_mappings,governance_os_maturity_assessments,governance_os_maturity_scores,governance_os_oversight_activities,governance_os_committees,governance_os_committee_members,governance_os_cadence_schedules,governance_os_cadence_adherence,governance_os_dashboard_cache,governance_os_audit	identity,tenancy,workflow,permissions,audit
